2014-12-26, Chesterfield, P'borough Utd, 3, 2, vs, TRUE
2014-12-26, Notts County, MK Dons, 0, 1, vs, TRUE
2014-12-26, Oldham Athletic, Crewe Alexandra, 1, 2, vs, TRUE
2014-12-26, Leyton Orient, Crawley Town, 4, 1, vs, TRUE
2014-12-26, Doncaster, Coventry City, 2, 0, vs, TRUE
2014-12-28, Rochdale, Fleetwood Town, 0, 2, vs, TRUE
2014-12-28, MK Dons, Walsall, 0, 3, vs, TRUE
2014-12-28, Coventry City, Chesterfield, 0, 0, vs, TRUE
2014-12-28, Bradford City, Notts County, 1, 0, vs, TRUE
2014-12-28, Crawley Town, Colchester Utd, 0, 0, vs, TRUE
2014-12-28, Crewe Alexandra, Preston, 1, 1, vs, TRUE
2014-12-28, Gillingham, Bristol City, 1, 3, vs, TRUE
2014-12-28, P'borough Utd, Doncaster, 0, 0, vs, TRUE
2014-12-28, Swindon Town, Port Vale, 1, 0, vs, TRUE
2014-12-29, Yeovil Town, Leyton Orient, 0, 3, vs, TRUE
2015-01-03, Port Vale, Gillingham, 2, 1, vs, TRUE
2015-01-03, Walsall, Coventry City, 0, 2, vs, TRUE
2015-01-03, Fleetwood Town, Swindon Town, 2, 2, vs, TRUE
2015-01-10, Oldham Athletic, Doncaster, 2, 2, vs, TRUE
2015-01-10, Sheffield Utd, Preston, 2, 1, vs, TRUE
2015-01-10, Leyton Orient, Fleetwood Town, 0, 1, vs, TRUE
2015-01-10, Bristol City, Notts County, 4, 0, vs, TRUE
2015-01-10, Bradford City, Rochdale, 1, 2, vs, TRUE
2015-01-10, Walsall, Scunthorpe Utd, 1, 4, vs, TRUE
2015-01-10, Chesterfield, Port Vale, 3, 0, vs, TRUE
2015-01-10, Crawley Town, MK Dons, 2, 2, vs, TRUE
2015-01-10, Crewe Alexandra, Gillingham, 3, 1, vs, TRUE
2015-01-10, Barnsley, Yeovil Town, 2, 0, vs, TRUE
2015-01-10, P'borough Utd, Colchester Utd, 0, 2, vs, TRUE
2015-01-12, Coventry City, Swindon Town, 0, 3, vs, TRUE
2015-01-16, Preston, Leyton Orient, 2, 2, vs, TRUE
2015-01-17, Scunthorpe Utd, Bristol City, 0, 2, vs, TRUE
2015-01-17, Swindon Town, Chesterfield, 3, 1, vs, TRUE
2015-01-17, Fleetwood Town, Oldham Athletic, 0, 2, vs, TRUE
2015-01-17, Port Vale, P'borough Utd, 2, 1, vs, TRUE
2015-01-17, Colchester Utd, Walsall, 0, 2, vs, TRUE
2015-01-17, Rochdale, Crawley Town, 4, 1, vs, TRUE
2015-01-17, Gillingham, Coventry City, 3, 1, vs, TRUE
2015-01-17, Yeovil Town, Bradford City, 1, 0, vs, TRUE
2015-01-17, MK Dons, Sheffield Utd, 1, 0, vs, TRUE
2015-01-17, Notts County, Crewe Alexandra, 2, 1, vs, TRUE
2015-01-17, Doncaster, Barnsley, 1, 0, vs, TRUE
2015-01-20, Preston, Yeovil Town, 1, 1, vs, TRUE
2015-01-20, Doncaster, Notts County, 0, 0, vs, TRUE
2015-01-24, Fleetwood Town, Crawley Town, 1, 0, vs, TRUE
2015-01-24, Notts County, P'borough Utd, 1, 2, vs, TRUE
2015-01-24, Colchester Utd, Leyton Orient, 2, 0, vs, TRUE
2015-01-24, Gillingham, Oldham Athletic, 3, 2, vs, TRUE
2015-01-24, Port Vale, Crewe Alexandra, 0, 1, vs, TRUE
2015-01-24, Yeovil Town, Coventry City, 0, 0, vs, TRUE
2015-01-24, MK Dons, Barnsley, 2, 0, vs, TRUE
2015-01-27, Chesterfield, Crawley Town, 3, 0, vs, TRUE
2015-01-27, Scunthorpe Utd, MK Dons, 1, 1, vs, TRUE
2015-01-31, Crawley Town, Preston, 2, 1, vs, TRUE
2015-01-31, Coventry City, Rochdale, 2, 2, vs, TRUE
2015-01-31, Leyton Orient, Scunthorpe Utd, 1, 4, vs, TRUE
2015-01-31, Sheffield Utd, Swindon Town, 2, 0, vs, TRUE
2015-01-31, Crewe Alexandra, MK Dons, 0, 5, vs, TRUE
2015-01-31, Barnsley, Port Vale, 2, 1, vs, TRUE
2015-01-31, P'borough Utd, Yeovil Town, 1, 0, vs, TRUE
2015-01-31, Bradford City, Colchester Utd, 1, 1, vs, TRUE
2015-01-31, Chesterfield, Doncaster, 2, 2, vs, TRUE
2015-01-31, Oldham Athletic, Notts County, 3, 0, vs, TRUE
2015-02-01, Walsall, Gillingham, 1, 1, vs, TRUE
2015-02-01, Bristol City, Fleetwood Town, 2, 0, vs, TRUE
2015-02-03, Barnsley, Oldham Athletic, 1, 0, vs, TRUE
2015-02-07, Colchester Utd, Crewe Alexandra, 2, 3, vs, TRUE
2015-02-07, Preston, Coventry City, 1, 0, vs, TRUE
2015-02-07, Swindon Town, Barnsley, 2, 0, vs, TRUE
2015-02-07, Yeovil Town, Crawley Town, 2, 1, vs, TRUE
2015-02-07, Scunthorpe Utd, Oldham Athletic, 0, 1, vs, TRUE
2015-02-07, Doncaster, Walsall, 0, 2, vs, TRUE
2015-02-07, Fleetwood Town, P'borough Utd, 1, 1, vs, TRUE
2015-02-07, Port Vale, Bradford City, 2, 2, vs, TRUE
2015-02-07, Notts County, Chesterfield, 0, 1, vs, TRUE
2015-02-07, MK Dons, Bristol City, 0, 0, vs, TRUE
2015-02-07, Gillingham, Sheffield Utd, 2, 0, vs, TRUE
2015-02-09, Bradford City, MK Dons, 2, 1, vs, TRUE
2015-02-10, Chesterfield, Preston, 0, 2, vs, TRUE
2015-02-10, Crewe Alexandra, Yeovil Town, 1, 0, vs, TRUE
2015-02-10, Oldham Athletic, Swindon Town, 2, 1, vs, TRUE
2015-02-10, P'borough Utd, Gillingham, 1, 2, vs, TRUE
2015-02-10, Crawley Town, Doncaster, 0, 5, vs, TRUE
2015-02-10, Bristol City, Port Vale, 3, 1, vs, TRUE
2015-02-10, Coventry City, Scunthorpe Utd, 1, 1, vs, TRUE
2015-02-10, Walsall, Rochdale, 3, 2, vs, TRUE
2015-02-10, Barnsley, Fleetwood Town, 1, 2, vs, TRUE
2015-02-10, Leyton Orient, Notts County, 0, 1, vs, TRUE
2015-02-10, Sheffield Utd, Colchester Utd, 4, 1, vs, TRUE
2015-02-14, P'borough Utd, Rochdale, 2, 1, vs, TRUE
2015-02-14, Doncaster, Yeovil Town, 3, 0, vs, TRUE
2015-02-14, Walsall, Port Vale, 0, 1, vs, TRUE
2015-02-14, Scunthorpe Utd, Swindon Town, 3, 1, vs, TRUE
2015-02-14, Crewe Alexandra, Fleetwood Town, 2, 0, vs, TRUE
2015-02-14, Oldham Athletic, Colchester Utd, 0, 1, vs, TRUE
2015-02-14, Crawley Town, Barnsley, 5, 1, vs, TRUE
2015-02-14, Chesterfield, Leyton Orient, 2, 3, vs, TRUE
2015-02-14, Gillingham, MK Dons, 4, 2, vs, TRUE
2015-02-14, Bristol City, Sheffield Utd, 1, 3, vs, TRUE
2015-02-17, Scunthorpe Utd, Chesterfield, 2, 0, vs, TRUE
2015-02-17, Notts County, Sheffield Utd, 1, 2, vs, TRUE
2015-02-17, Doncaster, Crewe Alexandra, 2, 1, vs, TRUE
2015-02-17, Bristol City, P'borough Utd, 2, 0, vs, TRUE
2015-02-17, Colchester Utd, MK Dons, 0, 1, vs, TRUE
2015-02-18, Leyton Orient, Bradford City, 0, 2, vs, TRUE
2015-02-21, Barnsley, Crewe Alexandra, 2, 0, vs, TRUE
2015-02-21, Yeovil Town, Gillingham, 2, 2, vs, TRUE
2015-02-21, Fleetwood Town, Notts County, 2, 1, vs, TRUE
2015-02-21, Bradford City, Walsall, 1, 1, vs, TRUE
2015-02-21, Sheffield Utd, Coventry City, 2, 2, vs, TRUE
2015-02-21, Swindon Town, Crawley Town, 1, 2, vs, TRUE
