2018-02-10, Stevenage, Luton Town, 1, 1, vs, TRUE
2018-02-10, Barnet, Notts County, 1, 0, vs, TRUE
2018-02-10, Crewe Alexandra, Yeovil Town, 0, 0, vs, TRUE
2018-02-13, Colchester Utd, Coventry City, 2, 1, vs, TRUE
2018-02-13, Notts County, Carlisle United, 2, 1, vs, TRUE
2018-02-13, Acc'ton Stanley, Crewe Alexandra, 1, 0, vs, TRUE
2018-02-13, Chesterfield, Cambridge Utd, 2, 3, vs, TRUE
2018-02-13, Yeovil Town, Barnet, 2, 0, vs, TRUE
2018-02-13, Lincoln City, Cheltenham, 1, 0, vs, TRUE
2018-02-13, FG Rovers, Stevenage, 3, 1, vs, TRUE
2018-02-13, Luton Town, Crawley Town, 4, 1, vs, TRUE
2018-02-13, Mansfield Town, Newport County, 5, 0, vs, TRUE
2018-02-13, Wycombe, Swindon Town, 3, 2, vs, TRUE
2018-02-17, Cambridge Utd, Grimsby Town, 3, 1, vs, TRUE
2018-02-17, Crawley Town, Lincoln City, 3, 1, vs, TRUE
2018-02-17, Newport County, Notts County, 0, 0, vs, TRUE
2018-02-17, Carlisle United, Chesterfield, 2, 0, vs, TRUE
2018-02-17, Exeter City, Mansfield Town, 0, 1, vs, TRUE
2018-02-17, Barnet, Acc'ton Stanley, 1, 1, vs, TRUE
2018-02-17, Crewe Alexandra, Colchester Utd, 1, 0, vs, TRUE
2018-02-17, Swindon Town, Port Vale, 3, 2, vs, TRUE
2018-02-17, Morecambe, FG Rovers, 1, 1, vs, TRUE
2018-02-17, Cheltenham, Wycombe, 0, 2, vs, TRUE
2018-02-17, Stevenage, Yeovil Town, 4, 1, vs, TRUE
2018-02-20, Barnet, Carlisle United, 1, 3, vs, TRUE
2018-02-20, Cambridge Utd, Notts County, 1, 0, vs, TRUE
