2015-08-30, Dash, Boston, 1, 0, vs, TRUE
2015-08-30, Thorns, Spirit, 3, 3, vs, TRUE
2015-09-02, Sky Blue, Kansas City, 2, 3, vs, TRUE
2015-09-04, Flash, Thorns, 3, 2, vs, TRUE
2015-09-05, Spirit, Reign, 1, 2, vs, TRUE
2015-09-06, Red Stars, Dash, 1, 1, vs, TRUE
2015-09-13, Red Stars, Kansas City, 0, 3, vs, FALSE
2015-09-13, Reign, Spirit, 3, 0, vs, FALSE
2015-10-01, Kansas City, Reign, 1, 0, N, FALSE
2016-04-16, Dash, Red Stars, 3, 1, vs, TRUE
2016-04-16, Kansas City, Flash, 0, 1, vs, TRUE
2016-04-16, Spirit, Boston, 1, 0, vs, TRUE
2016-04-17, Reign, Sky Blue, 1, 2, vs, TRUE
2016-04-17, Thorns, Pride, 2, 1, vs, TRUE
2016-04-23, Kansas City, Thorns, 1, 1, vs, TRUE
2016-04-23, Pride, Dash, 3, 1, vs, TRUE
2016-04-23, Red Stars, Flash, 1, 0, vs, TRUE
2016-04-24, Boston, Reign, 0, 3, vs, TRUE
2016-04-24, Sky Blue, Spirit, 1, 2, vs, TRUE
2016-04-29, Dash, Sky Blue, 0, 0, vs, TRUE
2016-04-29, Flash, Spirit, 0, 3, vs, TRUE
2016-05-01, Boston, Thorns, 0, 1, vs, TRUE
2016-05-01, Red Stars, Pride, 1, 0, vs, TRUE
2016-05-01, Reign, Kansas City, 1, 0, vs, TRUE
2016-05-07, Boston, Red Stars, 0, 1, vs, TRUE
2016-05-07, Kansas City, Dash, 1, 2, vs, TRUE
2016-05-07, Sky Blue, Flash, 1, 2, vs, TRUE
2016-05-07, Spirit, Thorns, 0, 0, vs, TRUE
2016-05-08, Pride, Reign, 2, 0, vs, TRUE
2016-05-13, Kansas City, Red Stars, 0, 0, vs, TRUE
2016-05-13, Sky Blue, Boston, 1, 0, vs, TRUE
2016-05-14, Pride, Flash, 1, 0, vs, TRUE
2016-05-14, Reign, Thorns, 1, 1, vs, TRUE
2016-05-14, Spirit, Dash, 1, 0, vs, TRUE
2016-05-20, Dash, Pride, 0, 1, vs, TRUE
