1998-08-11, Sacramento Monarchs, Detroit Shock, 41, 50, vs
1998-08-12, Charlotte Sting, Los Angeles Sparks, 52, 65, vs
1998-08-12, Utah Starzz, Sacramento Monarchs, 81, 71, vs
1998-08-12, Washington Mystics, Cleveland Rockers, 55, 75, vs
1998-08-13, New York Liberty, Washington Mystics, 88, 45, vs
1998-08-14, Charlotte Sting, Cleveland Rockers, 72, 85, vs
1998-08-14, Los Angeles Sparks, Utah Starzz, 87, 67, vs
1998-08-14, Phoenix Mercury, Detroit Shock, 84, 59, vs
1998-08-15, Cleveland Rockers, Washington Mystics, 90, 71, vs
1998-08-15, New York Liberty, Houston Comets, 70, 54, vs
1998-08-15, Sacramento Monarchs, Utah Starzz, 82, 55, vs
1998-08-16, Los Angeles Sparks, Detroit Shock, 76, 77, vs
1998-08-16, Sacramento Monarchs, Phoenix Mercury, 69, 85, vs
1998-08-17, New York Liberty, Cleveland Rockers, 64, 70, vs
1998-08-17, Utah Starzz, Phoenix Mercury, 64, 75, vs
1998-08-17, Washington Mystics, Houston Comets, 65, 110, vs
1998-08-19, Detroit Shock, New York Liberty, 82, 68, vs
1998-08-19, Houston Comets, Los Angeles Sparks, 80, 71, vs
1998-08-19, Phoenix Mercury, Sacramento Monarchs, 71, 62, vs
1998-08-19, Washington Mystics, Charlotte Sting, 69, 105, vs
1998-08-22, Charlotte Sting, Houston Comets, 71, 85, vs
1998-08-22, Phoenix Mercury, Cleveland Rockers, 78, 68, vs
1998-08-24, Cleveland Rockers, Phoenix Mercury, 67, 66, vs
1998-08-24, Houston Comets, Charlotte Sting, 77, 61, vs
1998-08-25, Cleveland Rockers, Phoenix Mercury, 60, 71, vs
1998-08-27, Phoenix Mercury, Houston Comets, 54, 51, vs
1998-08-29, Houston Comets, Phoenix Mercury, 74, 69, vs
1998-09-01, Houston Comets, Phoenix Mercury, 80, 71, vs
1999-06-10, Los Angeles Sparks, Sacramento Monarchs, 100, 78, vs
1999-06-10, New York Liberty, Cleveland Rockers, 87, 60, vs
1999-06-10, Orlando Miracle, Houston Comets, 63, 77, vs
1999-06-10, Washington Mystics, Charlotte Sting, 73, 83, vs
1999-06-12, Charlotte Sting, New York Liberty, 57, 68, vs
1999-06-12, Cleveland Rockers, Los Angeles Sparks, 59, 75, vs
1999-06-12, Houston Comets, Washington Mystics, 88, 63, vs
1999-06-12, Minnesota Lynx, Detroit Shock, 68, 51, vs
1999-06-12, Sacramento Monarchs, Phoenix Mercury, 96, 85, vs
1999-06-12, Utah Starzz, Orlando Miracle, 71, 65, vs
1999-06-14, Cleveland Rockers, Detroit Shock, 71, 73, vs
1999-06-14, Minnesota Lynx, Utah Starzz, 78, 54, vs
1999-06-14, New York Liberty, Washington Mystics, 61, 83, vs
1999-06-14, Phoenix Mercury, Sacramento Monarchs, 64, 74, vs
1999-06-15, Orlando Miracle, Los Angeles Sparks, 88, 86, vs
1999-06-17, Detroit Shock, Orlando Miracle, 79, 74, vs
1999-06-17, Houston Comets, Utah Starzz, 93, 73, vs
1999-06-17, Sacramento Monarchs, Cleveland Rockers, 70, 50, vs
1999-06-18, New York Liberty, Los Angeles Sparks, 84, 72, vs
1999-06-18, Washington Mystics, Detroit Shock, 69, 76, vs
1999-06-19, Charlotte Sting, Los Angeles Sparks, 69, 73, vs
1999-06-19, Minnesota Lynx, Houston Comets, 55, 69, vs
1999-06-19, Orlando Miracle, Washington Mystics, 73, 68, vs
1999-06-19, Phoenix Mercury, Cleveland Rockers, 76, 67, vs
1999-06-19, Utah Starzz, Sacramento Monarchs, 85, 75, vs
1999-06-20, New York Liberty, Detroit Shock, 69, 62, vs
1999-06-21, Orlando Miracle, Phoenix Mercury, 80, 76, vs
1999-06-22, Cleveland Rockers, Orlando Miracle, 62, 71, vs
